Bairro,NumerodeHomicidios,Regional,PopulacaoTotal,PopHomens,PopMulheres,MediaMoradores,RazaoDep,Id,GID,Geometria,HomicidioPopulacao
AEROLANDIA,17,REGIONAL 6,11360,5365,5995,3.45,"39,94",Limite Bairro.fid-2be50750_153af4824fe_2d72,59,POLYGON,149.648
AEROPORTO,2,REGIONAL 4,8618,4160,4458,3.61,"45,62",Limite Bairro.fid-2be50750_153af4824fe_2d8b,83,POLYGON,23.207
JOSE DE ALENCAR,20,REGIONAL 6,16003,7652,8351,3.5,"37,49",Limite Bairro.fid-2be50750_153af4824fe_2d58,32,POLYGON,124.977
ALDEOTA,8,REGIONAL 2,42361,17980,24381,3.08,"34,11",Limite Bairro.fid-2be50750_153af4824fe_2d53,25,POLYGON,18.885
ALTO DA BALANCA,10,REGIONAL 6,12814,5930,6884,3.39,"43,32",Limite Bairro.fid-2be50750_153af4824fe_2d31,23,POLYGON,78.04
ALVARO WEYNE,21,REGIONAL 1,23690,10834,12856,3.52,"41,7",Limite Bairro.fid-2be50750_153af4824fe_2d42,15,POLYGON,88.645
ANCURI,18,REGIONAL 6,20070,9823,10247,3.42,"44,98",Limite Bairro.fid-2be50750_153af4824fe_2d6a,50,POLYGON,89.686
ANTONIO BEZERRA,16,REGIONAL 3,25846,11902,13944,3.44,"39,89",Limite Bairro.fid-2be50750_153af4824fe_2d90,91,POLYGON,61.905
AUTRAN NUNES,18,REGIONAL 3,21208,10281,10927,3.78,"46,93",Limite Bairro.fid-2be50750_153af4824fe_2d46,3,POLYGON,84.874
DE LOURDES,0,REGIONAL 2,3370,1561,1809,3.51,"33,47",Limite Bairro.fid-2be50750_153af4824fe_2d51,19,POLYGON,0
BARRA DO CEARA,70,REGIONAL 1,72423,34658,37765,3.56,"42,98",Limite Bairro.fid-2be50750_153af4824fe_2d32,17,POLYGON,96.654
BARROSO,45,REGIONAL 6,29847,14359,15488,3.58,"47,38",Limite Bairro.fid-2be50750_153af4824fe_2d5b,35,POLYGON,150.769
BELA VISTA,17,REGIONAL 3,16754,7767,8987,3.4,"40,19",Limite Bairro.fid-2be50750_153af4824fe_2d92,94,POLYGON,101.468
BENFICA,2,REGIONAL 4,12954,5532,7422,3.05,"30,49",Limite Bairro.fid-2be50750_153af4824fe_2d79,65,POLYGON,15.439
BOM FUTURO,0,REGIONAL 4,6405,2747,3658,3.25,"38,01",Limite Bairro.fid-2be50750_153af4824fe_2d63,44,POLYGON,0
BOM JARDIM,53,REGIONAL 5,37758,18180,19578,3.6,"46,29",Limite Bairro.fid-2be50750_153af4824fe_2d88,84,POLYGON,140.368
BONSUCESSO,25,REGIONAL 3,41198,19336,21862,3.5,"42,91",Limite Bairro.fid-2be50750_153af4824fe_2d9e,108,POLYGON,60.683
CAIS DO PORTO,19,REGIONAL 2,22382,10867,11515,3.54,"45,54",Limite Bairro.fid-2be50750_153af4824fe_2d2f,21,POLYGON,84.89
CAJAZEIRAS,11,REGIONAL 6,14478,6821,7657,3.27,"39,84",Limite Bairro.fid-2be50750_153af4824fe_2d34,18,POLYGON,75.977
