"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Prefeitura de Fortaleza","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Secretaria Municipal de Desenvolvimento Econômico (SDE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Coordenadoria de Projetos e Desenvolvimento Econômico (COPDE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tabela: População Total e por Gênero, Média de Moradores por Domicílio e Razão de Dependência","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Regional","Bairros","População Total","Pop. Homens","Pop. Mulheres","Média de moradores por domicílio","Razão de Dependência","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Aerolândia","11360","5365","5995","3.45","39.94","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 4","Aeroporto","8618","4160","4458","3.61","45.62","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 2","Aldeota","42361","17980","24381","3.08","34.11","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Alto da Balança","12814","5930","6884","3.39","43.32","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 1","Álvaro Weyne","23690","10834","12856","3.52","41.7","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 3","Amadeo Furtado","11703","5211","6492","3.46","40.21","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Ancuri","20070","9823","10247","3.42","44.98","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 3","Antônio Bezerra","25846","11902","13944","3.44","39.89","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 1","Arraial Moura Brasil","3765","1796","1969","3.55","48.23","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 3","Autran Nunes","21208","10281","10927","3.78","46.93","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 1","Barra do Ceará","72423","34658","37765","3.56","42.98","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Barroso","29847","14359","15488","3.58","47.38","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 3","Bela Vista","16754","7767","8987","3.4","40.19","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 4","Benfica","12954","5532","7422","3.05","30.49259595","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Boa Vista","12247","5869","6378","3.42","43.508319663","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 4","Bom Futuro","6405","2747","3658","3.25","38.01","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 5","Bom Jardim","37758","18180","19578","3.6","46.29","","","","","","","","","","","","","","","","","","","","","","",""
